"input","expected_output","actual_output","expected_score","category"
"Summarize: The Amazon rainforest, often called the ""lungs of the Earth,"" produces about 20% of the world's oxygen. It spans nine countries, with Brazil holding the largest share. Deforestation driven by agriculture, logging, and urbanization has destroyed roughly 17% of the forest in the last 50 years, threatening biodiversity and accelerating climate change.","The Amazon rainforest produces ~20% of Earth's oxygen, spans nine countries, and has lost about 17% of its area in 50 years due to deforestation from agriculture, logging, and urbanization, threatening biodiversity and worsening climate change.","The Amazon rainforest, also known as the lungs of the Earth, produces roughly 20% of the world's oxygen and spans nine countries, mostly Brazil. Over the past 50 years, approximately 17% of the forest has been lost to deforestation driven by agriculture, logging, and urbanization, which threatens biodiversity and contributes to climate change.","1.0","summarization"
"Summarize: Antibiotics are medicines that kill or inhibit the growth of bacteria. They have saved millions of lives since Alexander Fleming discovered penicillin in 1928. However, overuse and misuse have led to antibiotic resistance, a growing global health crisis where bacteria evolve to survive antibiotic treatment, making infections harder or impossible to treat.","Antibiotics, discovered with penicillin in 1928, kill bacteria and have saved millions of lives. Overuse and misuse have created antibiotic resistance, a global health crisis where bacteria evolve to survive treatment.","Antibiotics are drugs used to treat bacterial infections and have been crucial to modern medicine. Antibiotic resistance is an emerging problem caused by the overuse of these drugs.","1.0","summarization"
"Summarize: The stock market experienced extreme volatility throughout 2022 as central banks worldwide raised interest rates aggressively to combat inflation, which reached 40-year highs in the United States. The S&P 500 fell more than 19% for the year, its worst annual performance since 2008. Technology stocks were hit especially hard as rising rates reduced the present value of future earnings.","In 2022, aggressive interest rate hikes to fight 40-year-high inflation caused extreme stock market volatility. The S&P 500 fell over 19%, its worst year since 2008, with technology stocks especially hard-hit as rising rates cut into future earnings valuations.","2022 was a bad year for the stock market due to inflation and rising interest rates. The S&P 500 fell by more than 19%.","0.5","summarization"
"Summarize: In 1969, NASA's Apollo 11 mission successfully landed astronauts Neil Armstrong and Buzz Aldrin on the Moon, while Michael Collins orbited above. Armstrong became the first human to walk on the lunar surface, famously saying ""That's one small step for man, one giant leap for mankind."" The mission lasted eight days and safely returned all three astronauts to Earth.","Apollo 11 in 1969 landed Neil Armstrong and Buzz Aldrin on the Moon while Michael Collins orbited. Armstrong became the first human to walk on the Moon, quoting his famous line. All three astronauts returned safely after eight days.","In 1969, Apollo 11 landed on the Moon. Neil Armstrong was the first person to walk on the lunar surface and said a famous quote about mankind.","0.5","summarization"
"Summarize: Photosynthesis is the process by which plants, algae, and some bacteria convert light energy — usually from the sun — into chemical energy stored as glucose. The process takes place primarily in chloroplasts, using carbon dioxide from the air and water from the soil. Oxygen is released as a byproduct, which is essential for most life on Earth.","Photosynthesis converts light energy into glucose using CO2 and water, occurring in chloroplasts. Oxygen is released as a byproduct and is vital to most life on Earth.","Photosynthesis is how plants make food using sunlight.","0.0","summarization"
"Summarize: The human immune system is a complex network of cells, tissues, and organs that defends the body against pathogens such as bacteria, viruses, and fungi. It consists of two main branches: the innate immune system, which provides a rapid, non-specific response, and the adaptive immune system, which develops targeted responses and immunological memory over time.","The human immune system defends against pathogens through two branches: the innate system (rapid, non-specific) and the adaptive system (targeted responses with immunological memory).","The immune system defends the body. It has two parts: innate and adaptive immunity.","0.33","summarization"
"Summarize: Machine learning is a subset of artificial intelligence in which systems learn from data to improve their performance on tasks without being explicitly programmed. Common approaches include supervised learning, where models train on labeled data; unsupervised learning, which finds patterns in unlabeled data; and reinforcement learning, where agents learn by receiving rewards or penalties for their actions.","Machine learning lets systems learn from data without explicit programming. Key approaches are supervised learning (labeled data), unsupervised learning (unlabeled pattern-finding), and reinforcement learning (reward-based agent training).","Machine learning is an AI technique where computers learn from data. There are several types including supervised, unsupervised, and reinforcement learning.","0.67","summarization"
"Summarize: Sleep plays a critical role in physical and mental health. During sleep, the brain consolidates memories, the body repairs tissues, and the immune system is strengthened. Chronic sleep deprivation has been linked to increased risk of obesity, heart disease, diabetes, and mental health disorders. Adults are generally recommended to get 7–9 hours of sleep per night.","Sleep consolidates memories, repairs the body, and strengthens immunity. Chronic deprivation raises risks of obesity, heart disease, diabetes, and mental illness. Adults need 7–9 hours nightly.","Sleep is important for health. Not getting enough sleep can cause various health problems including heart disease and obesity.","0.0","summarization"
"Summarize: The Great Barrier Reef is the world's largest coral reef system, stretching over 2,300 kilometers along Australia's northeast coast. It is home to thousands of species of fish, corals, and other marine life. Rising ocean temperatures due to climate change have caused repeated coral bleaching events, killing large portions of the reef and threatening its long-term survival.","The Great Barrier Reef, the world's largest coral reef at 2,300 km along Australia's coast, hosts thousands of marine species. Climate change-driven ocean warming has triggered repeated bleaching events, killing large reef sections and threatening its survival.","Australia has the Great Barrier Reef, which is very large. Climate change is damaging the reef.","0.0","summarization"
"Summarize: Bitcoin, created in 2009 by the pseudonymous Satoshi Nakamoto, was the first decentralized cryptocurrency. It operates on a peer-to-peer network using blockchain technology to record transactions without a central authority. Bitcoin's supply is capped at 21 million coins, and new coins are issued through a process called mining, where computers compete to solve complex mathematical puzzles.","Bitcoin is the first decentralized cryptocurrency, created in 2009 by Satoshi Nakamoto. It uses blockchain on a peer-to-peer network, has a hard cap of 21 million coins, and issues new coins via mining.","Bitcoin is a decentralized digital currency created by Satoshi Nakamoto in 2009. It uses blockchain technology and has a fixed supply of 21 million coins obtained through mining.","1.0","summarization"
"Classify this text: ""I can't believe how terrible the customer service was. Waited 45 minutes and got zero help."" Choose from: positive, negative, neutral.","negative","negative","1.0","classification"
"Classify this text: ""The package arrived two days early and was packaged securely. Everything was exactly as described."" Choose from: positive, negative, neutral.","positive","positive","1.0","classification"
"Classify this text: ""The product works as expected. Nothing special, but it does the job."" Choose from: positive, negative, neutral.","neutral","positive","0.0","classification"
"Classify this email as spam or not spam: ""Congratulations! You have been selected to receive a $1,000 gift card. Click here to claim your prize now!""","spam","not spam","0.0","classification"
"Classify this news headline into a category: ""Fed raises interest rates by 75 basis points for third consecutive meeting."" Choose from: politics, business/finance, sports, technology, health.","business/finance","business/finance","1.0","classification"
"Classify this text by language: ""Le soleil brille aujourd'hui et il fait très chaud.""","French","Spanish","0.0","classification"
"Classify the sentiment of this review: ""The food was decent but nothing remarkable. Service was a bit slow but friendly. I might go back."" Choose from: positive, negative, mixed.","mixed","positive","0.5","classification"
"Classify this support ticket by urgency: ""Hi, I noticed my invoice for last month seems to have a small discrepancy. Not urgent, just want to sort it out when you get a chance."" Choose from: low, medium, high.","low","medium","0.5","classification"
"Classify the intent of this user message: ""Can you show me how to reset my password?"" Choose from: complaint, information request, how-to request, purchase intent.","how-to request","how-to request","1.0","classification"
"Classify this medical symptom description as an emergency or non-emergency: ""Patient reports mild intermittent headache for three days. No fever, vision changes, or neck stiffness.""","non-emergency","emergency","0.0","classification"
"Extract the name, date, and location from: ""Dr. Sarah Collins will present her research on neuroplasticity at the Stanford Neuroscience Symposium on April 14, 2025.""","Name: Dr. Sarah Collins; Date: April 14, 2025; Location: Stanford Neuroscience Symposium","Name: Dr. Sarah Collins; Date: April 14, 2025; Location: Stanford Neuroscience Symposium","1.0","extraction"
"Extract all email addresses from: ""Please contact support at help@example.com or reach our billing team at billing@example.com for invoice issues.""","help@example.com, billing@example.com","help@example.com, billing@example.com","1.0","extraction"
"Extract the product name, price, and discount from: ""The Sony WH-1000XM5 headphones are currently listed at $349.99, marked down from the original $399.99.""","Product: Sony WH-1000XM5; Price: $349.99; Discount: $50.00 (from $399.99)","Product: Sony WH-1000XM5; Price: $349.99","0.5","extraction"
"Extract all named entities (people, organizations, locations) from: ""Elon Musk's company SpaceX successfully launched a Falcon 9 rocket from Cape Canaveral last Tuesday.""","People: Elon Musk; Organizations: SpaceX; Locations: Cape Canaveral","People: Elon Musk; Companies: SpaceX; Places: Cape Canaveral; Vehicle: Falcon 9","0.67","extraction"
"Extract the key dates and events from: ""The company was founded in 2010. It launched its flagship product in 2013, went public in 2018, and was acquired by a larger firm in 2023.""","2010: company founded; 2013: flagship product launched; 2018: went public; 2023: acquired","2010: founded; 2023: acquired","0.5","extraction"
"Extract the ingredients and quantities from: ""To make the sauce, combine 2 cups of tomatoes, 1 tablespoon of olive oil, 3 cloves of garlic, and half a teaspoon of salt.""","2 cups tomatoes; 1 tablespoon olive oil; 3 cloves garlic; 0.5 teaspoon salt","tomatoes, olive oil, garlic, salt","0.33","extraction"
"Extract the flight details from: ""Your booking is confirmed. Flight AA204 departs New York JFK on June 3rd at 08:15 and arrives in London Heathrow at 20:40 local time.""","Flight: AA204; Departure: New York JFK, June 3rd, 08:15; Arrival: London Heathrow, 20:40","Flight number: AA204; Origin: JFK; Destination: Heathrow; Date: June 3rd; Departure time: 08:15; Arrival time: 20:40","1.0","extraction"
"Extract all monetary values from: ""The contract is valued at $2.4 million. The initial deposit of $240,000 is due within 30 days, with the remaining $2,160,000 payable upon delivery.""","$2,400,000 (total contract); $240,000 (initial deposit); $2,160,000 (remaining balance)","$2.4 million","0.0","extraction"
"Extract the job title, company, and required skills from: ""We are hiring a Senior Data Engineer at Acme Corp. The ideal candidate has 5+ years of experience with Python, SQL, and Apache Spark.""","Job Title: Senior Data Engineer; Company: Acme Corp; Skills: Python, SQL, Apache Spark","Company: Acme Corp; Skills: Python, SQL, Spark","0.5","extraction"
"Extract structured key-value pairs from this configuration string: ""host=db.prod.example.com port=5432 dbname=analytics user=readonly timeout=30""","host: db.prod.example.com; port: 5432; dbname: analytics; user: readonly; timeout: 30","host=db.prod.example.com, port=5432, user=readonly","0.0","extraction"
"Write a function that takes a list of integers and returns the two numbers that sum to zero. Return None if no such pair exists.","def find_zero_sum_pair(nums):
    seen = set()
    for n in nums:
        if -n in seen:
            return (n, -n)
        seen.add(n)
    return None","def find_zero_sum_pair(nums):
    seen = set()
    for n in nums:
        if -n in seen:
            return (n, -n)
        seen.add(n)
    return None","1.0","code"
"Write a function that checks whether a given string is a palindrome (ignoring case and spaces).","def is_palindrome(s):
    cleaned = s.replace(' ', '').lower()
    return cleaned == cleaned[::-1]","def is_palindrome(s):
    s = s.lower().replace(' ', '')
    return s == s[::-1]","1.0","code"
"Write a function that flattens a nested list of arbitrary depth into a single flat list.","def flatten(lst):
    result = []
    for item in lst:
        if isinstance(item, list):
            result.extend(flatten(item))
        else:
            result.append(item)
    return result","def flatten(lst):
    flat = []
    for item in lst:
        if type(item) == list:
            flat += flatten(item)
        else:
            flat.append(item)
    return flat","0.67","code"
"Write a Python function that reads a JSON file and returns its contents as a dictionary. Handle the case where the file does not exist.","import json
import os

def read_json(filepath):
    if not os.path.exists(filepath):
        return None
    with open(filepath, 'r') as f:
        return json.load(f)","import json

def read_json(filepath):
    with open(filepath, 'r') as f:
        return json.load(f)","0.5","code"
"Write a function that returns the nth Fibonacci number using memoization.","def fib(n, memo={}):
    if n in memo:
        return memo[n]
    if n <= 1:
        return n
    memo[n] = fib(n-1, memo) + fib(n-2, memo)
    return memo[n]","def fib(n):
    if n <= 1:
        return n
    return fib(n-1) + fib(n-2)","0.5","code"
"Write a function that groups a list of dictionaries by a given key.","def group_by(items, key):
    result = {}
    for item in items:
        val = item.get(key)
        if val not in result:
            result[val] = []
        result[val].append(item)
    return result","def group_by(data, key):
    groups = {}
    for d in data:
        k = d[key]
        groups.setdefault(k, []).append(d)
    return groups","1.0","code"
"Write a function that finds the longest common prefix among a list of strings.","def longest_common_prefix(strs):
    if not strs:
        return ''
    prefix = strs[0]
    for s in strs[1:]:
        while not s.startswith(prefix):
            prefix = prefix[:-1]
        if not prefix:
            return ''
    return prefix","def longest_common_prefix(strs):
    result = ''
    for chars in zip(*strs):
        if len(set(chars)) == 1:
            result += chars[0]
    return result","0.33","code"
"Write a function that converts a snake_case string to camelCase.","def to_camel_case(s):
    parts = s.split('_')
    return parts[0] + ''.join(p.capitalize() for p in parts[1:])","def to_camel_case(s):
    return ''.join(word.capitalize() for word in s.split('_'))","0.5","code"
"Write a function that takes a sentence and returns a dictionary of word frequencies.","def word_freq(sentence):
    freq = {}
    for word in sentence.lower().split():
        freq[word] = freq.get(word, 0) + 1
    return freq","def word_freq(s):
    words = s.split()
    return {w: words.count(w) for w in set(words)}","0.67","code"
"Write a function that rotates a list to the right by k positions.","def rotate_right(lst, k):
    if not lst:
        return lst
    k = k % len(lst)
    return lst[-k:] + lst[:-k]","def rotate_right(lst, k):
    for _ in range(k):
        lst = [lst[-1]] + lst[:-1]
    return lst","0.0","code"
